"Cocaine, trafficking  [4220]",7,Drug-related
"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",7,Drug-related
"Other Controlled Drugs and Substances Act, trafficking  [4230]",7,Drug-related
"Methamphetamines (crystal meth), trafficking  [4250]",7,Drug-related
"Opioid (other than heroin), trafficking  [4270] 59",7,Drug-related
Total Cannabis Act  [450] 57 61,7,Drug-related
Total possession - Cannabis Act  [451] 57 58,7,Drug-related
Total distribution - Cannabis Act  [452] 57,7,Drug-related
Total sale - Cannabis Act  [453] 57,7,Drug-related
Possession of cannabis for purpose of selling  [4934] 57,7,Drug-related
Total production - Cannabis Act  [455] 57,7,Drug-related
"Cultivate, propagate or harvest cannabis by adult  [4952] 57",7,Drug-related
Youth Criminal Justice Act  [6450],8,Federal Statutes
Total other Federal Statutes  [610],8,Federal Statutes
Excise Act  [6400],8,Federal Statutes
Firearms Act  [6550],8,Federal Statutes
Other federal statutes  [6900],8,Federal Statutes
